N
48,52
C
100
A
16
2,49,S
39,19,1
3,49,S
42,4,1
4,49,S
31,19,1
5,49,S
42,14,1
6,49,S
40,4,1
7,49,S
34,16,3
8,49,S
41,11,3
9,49,S
33,4,1
26,49,S
16,16,3
27,49,S
5,6,3
28,49,S
8,4,1
29,49,S
15,19,1
30,49,S
12,9,1
31,49,S
8,9,1
32,49,S
5,9,1
33,49,S
8,6,3
M
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
100,100,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,100,100,100,100,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,100,100
100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100
100,100,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,100,100,100,100,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,100,100
100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
100,100,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,100,100,100,100,0,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,100,100
