# agent_id,timestep,x,y,heading  (0=E 1=N 2=W 3=S)
0,0,2,21,3
0,1,2,20,3
0,2,2,19,3
0,3,2,18,3
0,4,2,17,3
0,5,2,16,3
0,6,2,15,3
0,7,2,14,3
0,8,2,13,3
0,9,3,13,0
0,10,2,13,0
0,11,3,13,0
0,12,3,12,3
0,13,3,11,3
0,14,3,10,3
0,15,3,9,3
0,16,3,8,3
0,17,3,7,3
0,18,4,7,0
0,19,5,7,0
0,20,5,8,1
1,0,12,21,3
1,1,12,20,3
1,2,12,19,3
1,3,12,18,3
1,4,12,17,3
1,5,12,16,3
1,6,12,15,3
1,7,12,14,3
1,8,12,13,3
1,9,12,13,3
1,10,12,13,3
1,11,12,12,3
1,12,12,11,3
1,13,12,10,3
1,14,12,9,3
1,15,12,8,3
1,16,12,7,3
1,17,11,7,2
1,18,10,7,2
1,19,10,8,1
2,0,3,20,3
2,1,3,19,3
2,2,3,18,3
2,3,3,17,3
2,4,3,16,3
2,5,3,15,3
2,6,3,14,3
2,7,3,13,3
2,8,3,12,3
2,9,4,12,0
2,10,5,12,0
2,11,6,12,0
2,12,7,12,0
2,13,7,11,3
2,14,7,10,3
3,0,13,20,3
3,1,13,19,3
3,2,13,18,3
3,3,13,17,3
3,4,13,16,3
3,5,13,15,3
3,6,13,14,3
3,7,13,13,3
3,8,13,12,3
3,9,12,12,2
3,10,11,12,2
3,11,10,12,2
3,12,9,12,2
3,13,8,12,2
3,14,8,11,3
3,15,8,10,3
4,0,2,2,1
4,1,2,3,1
4,2,2,4,1
4,3,2,5,1
4,4,2,6,1
4,5,2,7,1
4,6,2,8,1
4,7,2,9,1
4,8,2,10,1
4,9,2,11,1
4,10,2,12,1
4,11,3,12,0
4,12,4,12,0
4,13,5,12,0
4,14,5,13,1
5,0,12,2,1
5,1,12,3,1
5,2,12,4,1
5,3,12,5,1
5,4,12,6,1
5,5,12,7,1
5,6,12,8,1
5,7,12,9,1
5,8,12,10,1
5,9,12,11,1
5,10,12,12,1
5,11,11,12,2
5,12,10,12,2
5,13,10,13,1
6,0,3,3,1
6,1,3,4,1
6,2,3,5,1
6,3,3,6,1
6,4,3,7,1
6,5,3,8,1
6,6,3,9,1
6,7,3,10,1
6,8,3,11,1
6,9,3,12,1
6,10,3,13,1
6,11,3,14,1
6,12,3,15,1
6,13,3,16,1
6,14,4,16,0
6,15,5,16,0
6,16,6,16,0
6,17,7,16,0
6,18,7,15,3
7,0,13,3,1
7,1,13,4,1
7,2,13,5,1
7,3,13,6,1
7,4,13,7,1
7,5,13,8,1
7,6,13,9,1
7,7,13,10,1
7,8,13,11,1
7,9,13,12,1
7,10,13,13,1
7,11,13,14,1
7,12,13,15,1
7,13,13,16,1
7,14,12,16,2
7,15,11,16,2
7,16,10,16,2
7,17,9,16,2
7,18,8,16,2
7,19,8,15,3
