# agent_id,timestep,x,y,heading  (0=E 1=N 2=W 3=S)
0,0,2,21,3
0,1,2,20,3
0,2,2,19,3
0,3,2,18,3
0,4,2,17,3
0,5,2,16,3
0,6,2,15,3
0,7,2,14,3
0,8,2,13,3
0,9,2,12,3
0,10,2,11,3
0,11,2,10,3
0,12,2,9,3
0,13,2,8,3
0,14,2,7,3
0,15,2,7,0
0,16,3,7,0
0,17,4,7,0
0,18,5,7,0
0,19,5,7,1
0,20,5,8,1
1,0,3,21,3
1,1,3,20,3
1,2,3,19,3
1,3,3,18,3
1,4,3,17,3
1,5,3,16,3
1,6,3,15,3
1,7,3,14,3
1,8,3,13,3
1,9,3,13,3
1,10,3,12,3
1,11,3,11,3
1,12,3,10,3
1,13,3,9,3
1,14,3,8,3
1,15,3,7,3
1,16,3,7,0
1,17,4,7,0
1,18,5,7,0
1,19,6,7,0
1,20,6,7,1
1,21,6,8,1
2,0,12,21,3
2,1,12,20,3
2,2,12,19,3
2,3,12,18,3
2,4,12,17,3
2,5,12,16,3
2,6,12,15,3
2,7,12,14,3
2,8,12,13,3
2,9,12,12,3
2,10,12,11,3
2,11,12,10,3
2,12,12,9,3
2,13,12,8,3
2,14,12,7,3
2,15,12,7,0
2,16,11,7,0
2,17,10,7,0
2,18,9,7,0
2,19,8,7,0
2,20,7,7,0
2,21,7,7,1
2,22,7,8,1
3,0,13,21,3
3,1,13,20,3
3,2,13,19,3
3,3,13,18,3
3,4,13,17,3
3,5,13,16,3
3,6,13,15,3
3,7,13,14,3
3,8,13,13,3
3,9,13,12,3
3,10,13,11,3
3,11,13,10,3
3,12,13,9,3
3,13,13,8,3
3,14,13,7,3
3,15,13,7,0
3,16,12,7,0
3,17,11,7,0
3,18,10,7,0
3,19,9,7,0
3,20,8,7,0
3,21,8,7,1
3,22,8,8,1
4,0,2,20,3
4,1,2,19,3
4,2,2,18,3
4,3,2,17,3
4,4,2,16,3
4,5,2,15,3
4,6,2,14,3
4,7,2,13,3
4,8,2,12,3
4,9,2,11,3
4,10,2,10,3
4,11,2,9,3
4,12,2,8,3
4,13,2,7,3
4,14,2,7,0
4,15,3,7,0
4,16,4,7,0
4,17,5,7,0
4,18,6,7,0
4,19,7,7,0
4,20,8,7,0
4,21,9,7,0
4,22,9,7,1
4,23,9,8,1
5,0,3,20,3
5,1,3,19,3
5,2,3,18,3
5,3,3,19,3
5,4,3,18,3
5,5,3,17,3
5,6,3,16,3
5,7,3,15,3
5,8,3,14,3
5,9,3,13,3
5,10,3,12,3
5,11,3,11,3
5,12,3,10,3
5,13,3,9,3
5,14,3,8,3
5,15,3,7,3
5,16,3,7,0
5,17,4,7,0
5,18,5,7,0
5,19,6,7,0
5,20,7,7,0
5,21,8,7,0
5,22,9,7,0
5,23,10,7,0
5,24,10,7,1
5,25,10,8,1
6,0,12,20,3
6,1,12,19,3
6,2,12,18,3
6,3,12,17,3
6,4,12,16,3
6,5,12,15,3
6,6,12,14,3
6,7,12,13,3
6,8,12,12,3
6,9,12,11,3
6,10,12,11,0
6,11,11,11,0
6,12,10,11,0
6,13,9,11,0
6,14,8,11,0
6,15,7,11,0
6,16,6,11,0
6,17,5,11,0
6,18,5,11,3
6,19,5,10,3
7,0,13,20,3
7,1,13,19,3
7,2,13,18,3
7,3,13,17,3
7,4,13,16,3
7,5,13,15,3
7,6,13,14,3
7,7,13,13,3
7,8,13,12,3
7,9,13,11,3
7,10,13,11,2
7,11,12,11,2
7,12,11,11,2
7,13,10,11,2
7,14,9,11,2
7,15,8,11,2
7,16,7,11,2
7,17,6,11,2
7,18,6,11,3
7,19,6,10,3
8,0,2,19,3
8,1,2,18,3
8,2,2,17,3
8,3,2,16,3
8,4,2,15,3
8,5,2,14,3
8,6,2,13,3
8,7,2,12,3
8,8,2,11,3
8,9,2,11,2
8,10,3,11,2
8,11,4,11,2
8,12,5,11,2
8,13,6,11,2
8,14,7,11,2
8,15,7,11,3
8,16,7,10,3
9,0,3,19,3
9,1,3,18,3
9,2,3,17,3
9,3,3,16,3
9,4,3,15,3
9,5,3,14,3
9,6,3,13,3
9,7,3,12,3
9,8,3,12,0
9,9,4,12,0
9,10,5,12,0
9,11,6,12,0
9,12,7,12,0
9,13,8,12,0
9,14,8,12,1
9,15,8,11,1
9,16,8,10,1
10,0,12,19,3
10,1,12,18,3
10,2,12,17,3
10,3,12,16,3
10,4,12,15,3
10,5,12,14,3
10,6,12,13,3
10,7,12,12,3
10,8,12,12,0
10,9,11,12,0
10,10,10,12,0
10,11,9,12,0
10,12,9,12,1
10,13,9,11,1
10,14,9,10,1
11,0,13,19,3
11,1,13,18,3
11,2,13,17,3
11,3,13,16,3
11,4,13,15,3
11,5,13,14,3
11,6,13,13,3
11,7,13,12,3
11,8,13,12,0
11,9,12,12,0
11,10,11,12,0
11,11,10,12,0
11,12,10,12,3
11,13,10,11,3
11,14,10,10,3
12,0,2,2,1
12,1,2,3,1
12,2,2,4,1
12,3,2,5,1
12,4,2,6,1
12,5,2,7,1
12,6,2,8,1
12,7,2,9,1
12,8,2,10,1
12,9,2,11,1
12,10,2,12,1
12,11,2,12,2
12,12,3,12,2
12,13,4,12,2
12,14,5,12,2
12,15,5,12,3
12,16,5,13,3
13,0,3,2,1
13,1,3,3,1
13,2,3,4,1
13,3,3,5,1
13,4,3,6,1
13,5,3,7,1
13,6,3,8,1
13,7,3,9,1
13,8,3,10,1
13,9,3,11,1
13,10,3,12,1
13,11,3,12,2
13,12,4,12,2
13,13,5,12,2
13,14,6,12,2
13,15,6,12,3
13,16,6,13,3
14,0,12,2,1
14,1,12,3,1
14,2,12,4,1
14,3,12,5,1
14,4,12,6,1
14,5,12,7,1
14,6,12,8,1
14,7,12,9,1
14,8,12,10,1
14,9,12,11,1
14,10,12,12,1
14,11,12,12,2
14,12,11,12,2
14,13,10,12,2
14,14,9,12,2
14,15,8,12,2
14,16,7,12,2
14,17,7,12,3
14,18,7,13,3
15,0,13,2,1
15,1,13,3,1
15,2,13,4,1
15,3,13,5,1
15,4,13,6,1
15,5,13,7,1
15,6,13,8,1
15,7,13,9,1
15,8,13,10,1
15,9,13,11,1
15,10,13,12,1
15,11,13,12,0
15,12,12,12,0
15,13,11,12,0
15,14,10,12,0
15,15,9,12,0
15,16,8,12,0
15,17,8,12,1
15,18,8,13,1
16,0,2,3,1
16,1,2,4,1
16,2,2,5,1
16,3,2,6,1
16,4,2,7,1
16,5,2,8,1
16,6,2,9,1
16,7,2,10,1
16,8,2,11,1
16,9,2,11,2
16,10,3,11,2
16,11,4,11,2
16,12,5,11,2
16,13,6,11,2
16,14,7,11,2
16,15,8,11,2
16,16,9,11,2
16,17,9,11,3
16,18,9,12,3
16,19,9,13,3
17,0,3,3,1
17,1,3,4,1
17,2,3,5,1
17,3,3,6,1
17,4,3,7,1
17,5,3,8,1
17,6,3,9,1
17,7,3,10,1
17,8,3,11,1
17,9,3,12,1
17,10,3,12,2
17,11,4,12,2
17,12,5,12,2
17,13,6,12,2
17,14,7,12,2
17,15,8,12,2
17,16,9,12,2
17,17,10,12,2
17,18,10,12,1
17,19,10,13,1
18,0,12,3,1
18,1,12,4,1
18,2,12,5,1
18,3,12,6,1
18,4,12,7,1
18,5,12,8,1
18,6,12,9,1
18,7,12,10,1
18,8,12,11,1
18,9,12,12,1
18,10,12,13,1
18,11,12,14,1
18,12,12,15,1
18,13,12,16,1
18,14,12,16,2
18,15,11,16,2
18,16,10,16,2
18,17,9,16,2
18,18,8,16,2
18,19,7,16,2
18,20,6,16,2
18,21,5,16,2
18,22,5,16,3
18,23,5,15,3
19,0,13,3,1
19,1,13,4,1
19,2,13,5,1
19,3,13,6,1
19,4,13,7,1
19,5,13,8,1
19,6,13,9,1
19,7,13,10,1
19,8,13,11,1
19,9,13,12,1
19,10,13,13,1
19,11,13,14,1
19,12,13,15,1
19,13,13,16,1
19,14,13,16,2
19,15,12,16,2
19,16,11,16,2
19,17,10,16,2
19,18,9,16,2
19,19,8,16,2
19,20,7,16,2
19,21,6,16,2
19,22,6,16,3
19,23,6,15,3
20,0,2,4,1
20,1,2,5,1
20,2,2,6,1
20,3,2,7,1
20,4,2,8,1
20,5,2,9,1
20,6,2,10,1
20,7,2,11,1
20,8,2,11,2
20,9,3,11,2
20,10,3,11,3
20,11,3,12,3
20,12,3,13,3
20,13,3,14,3
20,14,3,15,3
20,15,3,16,3
20,16,3,16,0
20,17,4,16,0
20,18,5,16,0
20,19,6,16,0
20,20,7,16,0
20,21,7,16,1
20,22,7,15,1
21,0,3,4,1
21,1,3,5,1
21,2,3,6,1
21,3,3,7,1
21,4,3,8,1
21,5,3,9,1
21,6,3,10,1
21,7,3,11,1
21,8,3,12,1
21,9,3,13,1
21,10,3,14,1
21,11,3,15,1
21,12,3,16,1
21,13,3,16,2
21,14,4,16,2
21,15,5,16,2
21,16,6,16,2
21,17,7,16,2
21,18,8,16,2
21,19,8,16,3
21,20,8,15,3
22,0,12,4,1
22,1,12,5,1
22,2,12,6,1
22,3,12,7,1
22,4,12,8,1
22,5,12,9,1
22,6,12,10,1
22,7,12,11,1
22,8,12,12,1
22,9,12,12,1
22,10,12,13,1
22,11,12,14,1
22,12,12,15,1
22,13,12,16,1
22,14,12,16,2
22,15,11,16,2
22,16,10,16,2
22,17,9,16,2
22,18,9,16,3
22,19,9,15,3
23,0,13,4,1
23,1,13,5,1
23,2,13,6,1
23,3,13,7,1
23,4,13,8,1
23,5,13,9,1
23,6,13,10,1
23,7,13,11,1
23,8,13,12,1
23,9,13,12,1
23,10,13,13,1
23,11,13,14,1
23,12,13,15,1
23,13,13,16,1
23,14,13,16,0
23,15,12,16,0
23,16,11,16,0
23,17,10,16,0
23,18,10,16,3
23,19,10,15,3
