# agent_id,timestep,x,y,heading  (0=E 1=N 2=W 3=S)
0,0,2,21,3
0,1,2,20,3
0,2,2,19,3
0,3,2,18,3
0,4,2,18,3
0,5,2,17,3
0,6,2,16,3
0,7,2,15,3
0,8,2,14,3
0,9,2,15,3
0,10,2,16,3
0,11,2,17,3
0,12,2,18,3
0,13,2,18,3
0,14,2,17,3
0,15,2,16,3
0,16,2,15,3
0,17,2,14,3
0,18,2,13,3
0,19,2,13,3
0,20,2,12,3
0,21,2,11,3
0,22,2,10,3
0,23,2,9,3
0,24,2,8,3
0,25,2,7,3
0,26,2,7,0
0,27,2,7,0
0,28,3,7,0
0,29,4,7,0
0,30,5,7,0
0,31,5,7,1
0,32,5,8,1
1,0,3,21,3
1,1,3,20,3
1,2,3,19,3
1,3,3,18,3
1,4,3,18,2
1,5,2,18,2
1,6,2,18,3
1,7,2,17,3
1,8,2,16,3
1,9,2,16,3
1,10,2,17,3
1,11,2,18,3
1,12,2,19,3
1,13,2,19,3
1,14,2,18,3
1,15,2,17,3
1,16,2,16,3
1,17,2,15,3
1,18,2,14,3
1,19,2,14,3
1,20,2,13,3
1,21,2,12,3
1,22,2,11,3
1,23,2,10,3
1,24,2,9,3
1,25,2,8,3
1,26,2,8,0
1,27,3,8,0
1,28,3,8,1
1,29,3,7,1
1,30,3,7,2
1,31,4,7,2
1,32,5,7,2
1,33,6,7,2
1,34,6,7,3
1,35,6,8,3
2,0,12,21,3
2,1,12,20,3
2,2,12,19,3
2,3,12,18,3
2,4,12,18,0
2,5,12,18,1
2,6,12,17,1
2,7,12,17,0
2,8,11,17,0
2,9,10,17,0
2,10,9,17,0
2,11,8,17,0
2,12,7,17,0
2,13,6,17,0
2,14,6,17,0
2,15,6,17,0
2,16,5,17,0
2,17,5,17,1
2,18,5,16,1
2,19,5,16,2
2,20,4,16,2
2,21,3,16,2
2,22,3,16,1
2,23,3,15,1
2,24,3,14,1
2,25,3,13,1
2,26,3,12,1
2,27,3,11,1
2,28,3,10,1
2,29,3,9,1
2,30,3,8,1
2,31,3,7,1
2,32,3,7,2
2,33,4,7,2
2,34,5,7,2
2,35,6,7,2
2,36,7,7,2
2,37,7,7,3
2,38,7,8,3
3,0,13,21,3
3,1,13,20,3
3,2,13,19,3
3,3,13,19,0
3,4,12,19,0
3,5,12,19,3
3,6,12,18,3
3,7,12,18,0
3,8,12,18,1
3,9,12,19,1
3,10,12,19,1
3,11,12,19,1
3,12,12,19,0
3,13,12,19,3
3,14,12,19,3
3,15,12,19,3
3,16,12,18,3
3,17,12,17,3
3,18,12,16,3
3,19,12,15,3
3,20,12,14,3
3,21,12,13,3
3,22,12,12,3
3,23,12,12,3
3,24,12,12,3
3,25,12,11,3
3,26,12,10,3
3,27,12,9,3
3,28,12,8,3
3,29,12,7,3
3,30,12,7,2
3,31,11,7,2
3,32,10,7,2
3,33,10,7,2
3,34,10,7,2
3,35,9,7,2
3,36,8,7,2
3,37,8,7,3
3,38,8,8,3
4,0,2,20,3
4,1,2,19,3
4,2,2,18,3
4,3,2,17,3
4,4,2,17,2
4,5,3,17,2
4,6,3,17,1
4,7,3,18,1
4,8,3,18,1
4,9,3,18,1
4,10,3,18,1
4,11,3,18,1
4,12,3,18,1
4,13,3,18,1
4,14,3,18,1
4,15,3,17,1
4,16,3,16,1
4,17,3,15,1
4,18,3,14,1
4,19,3,13,1
4,20,3,13,1
4,21,3,12,1
4,22,3,11,1
4,23,3,10,1
4,24,3,9,1
4,25,3,8,1
4,26,3,7,1
4,27,3,7,0
4,28,4,7,0
4,29,5,7,0
4,30,6,7,0
4,31,7,7,0
4,32,8,7,0
4,33,9,7,0
4,34,9,7,1
4,35,9,8,1
5,0,3,20,3
5,1,3,19,3
5,2,3,18,3
5,3,3,17,3
5,4,3,16,3
5,5,3,16,0
5,6,4,16,0
5,7,5,16,0
5,8,6,16,0
5,9,7,16,0
5,10,8,16,0
5,11,9,16,0
5,12,10,16,0
5,13,9,16,0
5,14,8,16,0
5,15,8,16,1
5,16,8,16,1
5,17,8,17,1
5,18,8,17,0
5,19,9,17,0
5,20,10,17,0
5,21,11,17,0
5,22,12,17,0
5,23,12,17,1
5,24,12,16,1
5,25,12,15,1
5,26,12,14,1
5,27,12,13,1
5,28,12,12,1
5,29,12,11,1
5,30,12,10,1
5,31,12,9,1
5,32,12,8,1
5,33,12,7,1
5,34,12,7,0
5,35,11,7,0
5,36,10,7,0
5,37,10,7,1
5,38,10,8,1
6,0,12,20,3
6,1,12,19,3
6,2,12,18,3
6,3,12,17,3
6,4,12,17,0
6,5,11,17,0
6,6,10,17,0
6,7,9,17,0
6,8,8,17,0
6,9,7,17,0
6,10,6,17,0
6,11,5,17,0
6,12,4,17,0
6,13,4,17,0
6,14,4,17,3
6,15,4,17,2
6,16,3,17,2
6,17,3,17,3
6,18,3,16,3
6,19,3,15,3
6,20,3,14,3
6,21,3,13,3
6,22,3,12,3
6,23,3,11,3
6,24,3,11,0
6,25,4,11,0
6,26,5,11,0
6,27,5,11,3
6,28,5,10,3
7,0,13,20,3
7,1,13,19,3
7,2,13,18,3
7,3,13,17,3
7,4,13,17,0
7,5,12,17,0
7,6,11,17,0
7,7,10,17,0
7,8,9,17,0
7,9,8,17,0
7,10,7,17,0
7,11,6,17,0
7,12,5,17,0
7,13,5,17,0
7,14,5,17,0
7,15,5,17,0
7,16,4,17,0
7,17,4,17,0
7,18,3,17,0
7,19,3,17,3
7,20,3,16,3
7,21,3,15,3
7,22,3,14,3
7,23,3,13,3
7,24,3,12,3
7,25,3,11,3
7,26,3,11,0
7,27,4,11,0
7,28,5,11,0
7,29,6,11,0
7,30,6,11,1
7,31,6,10,1
8,0,2,19,3
8,1,2,18,3
8,2,2,17,3
8,3,2,16,3
8,4,2,15,3
8,5,2,14,3
8,6,2,14,2
8,7,3,14,2
8,8,3,14,2
8,9,3,14,1
8,10,3,15,1
8,11,3,16,1
8,12,3,17,1
8,13,3,17,2
8,14,3,17,3
8,15,3,16,3
8,16,3,15,3
8,17,3,14,3
8,18,3,13,3
8,19,3,12,3
8,20,3,11,3
8,21,3,11,2
8,22,4,11,2
8,23,5,11,2
8,24,6,11,2
8,25,7,11,2
8,26,7,11,3
8,27,7,10,3
9,0,3,19,3
9,1,3,18,3
9,2,3,17,3
9,3,3,16,3
9,4,3,15,3
9,5,3,15,3
9,6,3,16,3
9,7,3,17,3
9,8,3,17,2
9,9,3,17,2
9,10,3,17,2
9,11,3,17,2
9,12,2,17,2
9,13,2,17,1
9,14,2,16,1
9,15,2,15,1
9,16,2,14,1
9,17,2,13,1
9,18,2,12,1
9,19,2,12,2
9,20,3,12,2
9,21,4,12,2
9,22,5,12,2
9,23,6,12,2
9,24,7,12,2
9,25,8,12,2
9,26,8,12,3
9,27,8,11,3
9,28,8,10,3
10,0,12,19,3
10,1,12,18,3
10,2,12,17,3
10,3,12,16,3
10,4,12,15,3
10,5,12,14,3
10,6,12,13,3
10,7,12,14,3
10,8,12,15,3
10,9,12,16,3
10,10,12,17,3
10,11,12,18,3
10,12,12,18,2
10,13,12,18,2
10,14,12,18,2
10,15,12,18,3
10,16,12,17,3
10,17,12,16,3
10,18,12,15,3
10,19,12,14,3
10,20,12,13,3
10,21,12,12,3
10,22,12,11,3
10,23,12,11,0
10,24,11,11,0
10,25,10,11,0
10,26,9,11,0
10,27,9,11,1
10,28,9,10,1
11,0,13,19,3
11,1,13,18,3
11,2,13,17,3
11,3,13,16,3
11,4,13,16,2
11,5,12,16,2
11,6,12,16,3
11,7,12,16,3
11,8,12,17,3
11,9,12,18,3
11,10,12,18,2
11,11,13,18,2
11,12,13,18,2
11,13,13,18,2
11,14,13,18,1
11,15,13,17,1
11,16,13,16,1
11,17,13,15,1
11,18,13,14,1
11,19,13,13,1
11,20,13,12,1
11,21,13,11,1
11,22,13,11,1
11,23,13,11,0
11,24,12,11,0
11,25,11,11,0
11,26,10,11,0
11,27,10,11,3
11,28,10,10,3
12,0,2,2,1
12,1,2,3,1
12,2,2,4,1
12,3,2,5,1
12,4,2,6,1
12,5,2,7,1
12,6,2,8,1
12,7,2,9,1
12,8,2,10,1
12,9,2,11,1
12,10,2,12,1
12,11,2,12,2
12,12,3,12,2
12,13,4,12,2
12,14,5,12,2
12,15,5,12,3
12,16,5,13,3
13,0,3,2,1
13,1,3,3,1
13,2,3,4,1
13,3,3,5,1
13,4,3,6,1
13,5,3,7,1
13,6,3,8,1
13,7,3,9,1
13,8,3,10,1
13,9,3,11,1
13,10,3,12,1
13,11,3,12,2
13,12,4,12,2
13,13,5,12,2
13,14,6,12,2
13,15,6,12,3
13,16,6,13,3
14,0,12,2,1
14,1,12,3,1
14,2,12,4,1
14,3,12,5,1
14,4,12,6,1
14,5,12,7,1
14,6,12,8,1
14,7,12,9,1
14,8,12,10,1
14,9,12,11,1
14,10,12,12,1
14,11,12,12,2
14,12,11,12,2
14,13,10,12,2
14,14,9,12,2
14,15,8,12,2
14,16,7,12,2
14,17,7,12,3
14,18,7,13,3
15,0,13,2,1
15,1,13,3,1
15,2,13,4,1
15,3,13,5,1
15,4,13,6,1
15,5,13,7,1
15,6,13,8,1
15,7,13,9,1
15,8,13,10,1
15,9,13,11,1
15,10,13,12,1
15,11,13,12,0
15,12,12,12,0
15,13,11,12,0
15,14,10,12,0
15,15,9,12,0
15,16,8,12,0
15,17,8,12,1
15,18,8,13,1
16,0,2,3,1
16,1,2,4,1
16,2,2,5,1
16,3,2,6,1
16,4,2,7,1
16,5,2,8,1
16,6,2,9,1
16,7,2,10,1
16,8,2,11,1
16,9,2,12,1
16,10,2,13,1
16,11,2,13,1
16,12,2,12,1
16,13,2,12,2
16,14,3,12,2
16,15,4,12,2
16,16,5,12,2
16,17,6,12,2
16,18,7,12,2
16,19,8,12,2
16,20,9,12,2
16,21,9,12,3
16,22,9,13,3
17,0,3,3,1
17,1,3,4,1
17,2,3,5,1
17,3,3,6,1
17,4,3,7,1
17,5,3,8,1
17,6,3,9,1
17,7,3,10,1
17,8,3,11,1
17,9,3,12,1
17,10,3,13,1
17,11,3,13,2
17,12,3,13,1
17,13,3,12,1
17,14,3,13,1
17,15,3,12,1
17,16,3,12,2
17,17,4,12,2
17,18,5,12,2
17,19,6,12,2
