# agent_id,timestep,x,y,heading  (0=E 1=N 2=W 3=S)
0,0,2,56,1
0,1,2,55,1
0,2,2,54,1
0,3,2,53,1
0,4,2,52,1
0,5,2,51,1
0,6,2,50,1
0,7,2,49,1
0,8,2,48,1
0,9,2,47,1
0,10,2,46,1
0,11,2,45,1
0,12,2,44,1
0,13,2,43,1
0,14,2,42,1
0,15,2,41,1
0,16,2,40,1
0,17,2,39,1
0,18,2,38,1
0,19,2,37,1
0,20,2,36,1
0,21,2,35,1
0,22,2,34,1
0,23,2,33,1
0,24,2,32,1
0,25,2,31,1
0,26,2,30,1
0,27,2,29,1
0,28,2,28,1
0,29,2,27,1
0,30,2,26,1
0,31,2,25,1
0,32,2,24,1
0,33,2,23,1
0,34,2,22,1
0,35,2,21,1
0,36,2,20,1
0,37,2,19,1
0,38,2,18,1
0,39,2,17,1
0,40,2,18,1
0,41,3,18,0
0,42,4,18,0
0,43,5,18,0
0,44,6,18,0
0,45,7,18,0
0,46,8,18,0
0,47,9,18,0
0,48,10,18,0
0,49,11,18,0
0,50,12,18,0
0,51,13,18,0
0,52,14,18,0
0,53,14,19,1
1,0,24,62,1
1,1,24,61,1
1,2,24,60,1
1,3,24,59,1
1,4,24,58,1
1,5,24,57,1
1,6,24,56,1
1,7,24,55,1
1,8,24,54,1
1,9,24,53,1
1,10,24,52,1
1,11,24,51,1
1,12,24,50,1
1,13,24,49,1
1,14,24,48,1
1,15,24,47,1
1,16,24,46,1
1,17,24,45,1
1,18,24,44,1
1,19,24,43,1
1,20,24,42,1
1,21,24,41,1
1,22,24,40,1
1,23,24,39,1
1,24,24,38,1
1,25,24,37,1
1,26,24,36,1
1,27,24,35,1
1,28,24,34,1
1,29,24,33,1
1,30,24,32,1
1,31,24,31,1
1,32,24,30,1
1,33,24,29,1
1,34,24,28,1
1,35,24,27,1
1,36,24,26,1
1,37,24,25,1
1,38,24,24,1
1,39,24,24,1
1,40,24,23,1
1,41,24,22,1
1,42,24,23,1
1,43,23,23,2
1,44,22,23,2
1,45,21,23,2
1,46,20,23,2
1,47,19,23,2
1,48,18,23,2
1,49,17,23,2
1,50,16,23,2
1,51,16,22,3
1,52,16,21,3
2,0,24,46,1
2,1,24,45,1
2,2,24,44,1
2,3,24,43,1
2,4,24,42,1
2,5,24,41,1
2,6,24,40,1
2,7,24,39,1
2,8,24,38,1
2,9,24,37,1
2,10,24,36,1
2,11,24,35,1
2,12,24,34,1
2,13,24,33,1
2,14,24,32,1
2,15,24,31,1
2,16,24,30,1
2,17,24,29,1
2,18,24,28,1
2,19,24,27,1
2,20,24,26,1
2,21,24,25,1
2,22,24,24,1
2,23,24,23,1
2,24,24,22,1
2,25,24,21,1
2,26,24,20,1
2,27,24,19,1
2,28,24,18,1
2,29,24,17,1
2,30,24,16,1
2,31,24,15,1
2,32,24,14,1
2,33,24,13,1
2,34,24,12,1
2,35,24,11,1
2,36,24,10,1
2,37,24,9,1
2,38,24,8,1
2,39,24,7,1
2,40,24,8,1
2,41,23,8,2
2,42,22,8,2
2,43,21,8,2
2,44,20,8,2
2,45,19,8,2
2,46,18,8,2
2,47,18,7,3
2,48,18,6,3
3,0,24,48,1
3,1,24,47,1
3,2,24,46,1
3,3,24,45,1
3,4,24,44,1
3,5,24,43,1
3,6,24,42,1
3,7,24,41,1
3,8,24,40,1
3,9,24,39,1
3,10,24,38,1
3,11,24,37,1
3,12,24,36,1
3,13,24,35,1
3,14,24,34,1
3,15,24,33,1
3,16,24,32,1
3,17,24,31,1
3,18,24,30,1
3,19,24,29,1
3,20,24,28,1
3,21,24,27,1
3,22,24,26,1
3,23,24,25,1
3,24,24,24,1
3,25,24,23,1
3,26,24,22,1
3,27,24,21,1
3,28,24,20,1
3,29,24,19,1
3,30,24,18,1
3,31,24,17,1
3,32,24,16,1
3,33,24,17,1
3,34,23,17,2
3,35,22,17,2
3,36,21,17,2
3,37,20,17,2
3,38,19,17,2
3,39,18,17,2
3,40,17,17,2
3,41,16,17,2
3,42,15,17,2
3,43,14,17,2
3,44,13,17,2
3,45,12,17,2
3,46,11,17,2
3,47,11,16,3
4,0,3,49,1
4,1,3,48,1
4,2,3,47,1
4,3,3,46,1
4,4,3,45,1
4,5,3,44,1
4,6,3,43,1
4,7,3,42,1
4,8,3,41,1
4,9,3,40,1
4,10,3,39,1
4,11,3,38,1
4,12,3,37,1
4,13,3,36,1
4,14,3,35,1
4,15,3,34,1
4,16,3,33,1
4,17,3,32,1
4,18,3,31,1
4,19,3,30,1
