# agent_id,timestep,x,y,heading  (0=E 1=N 2=W 3=S)
0,0,12,22,3
0,1,12,21,3
0,2,12,20,3
0,3,12,19,3
0,4,12,18,3
0,5,12,17,3
0,6,12,16,3
0,7,12,15,3
0,8,12,15,3
0,9,12,14,3
0,10,13,14,0
0,11,14,14,0
0,12,15,14,0
0,13,16,14,0
0,14,17,14,0
0,15,17,13,3
0,16,17,12,3
0,17,17,11,3
0,18,17,10,3
0,19,17,9,3
0,20,17,8,3
0,21,17,7,3
0,22,17,6,3
0,23,17,5,3
0,24,17,4,3
0,25,17,3,3
0,26,18,3,0
0,27,19,3,0
0,28,19,4,1
1,0,13,22,3
1,1,13,21,3
1,2,13,20,3
1,3,13,19,3
1,4,13,18,3
1,5,13,17,3
1,6,13,17,3
1,7,13,17,3
1,8,13,16,3
1,9,13,15,3
1,10,13,15,3
1,11,13,14,3
1,12,13,13,3
1,13,13,12,3
1,14,13,11,3
1,15,13,10,3
1,16,13,9,3
1,17,13,8,3
1,18,13,7,3
1,19,14,7,0
1,20,15,7,0
1,21,16,7,0
1,22,17,7,0
1,23,17,6,3
1,24,17,5,3
1,25,17,4,3
1,26,17,3,3
1,27,18,3,0
1,28,19,3,0
1,29,20,3,0
1,30,21,3,0
1,31,22,3,0
1,32,23,3,0
1,33,24,3,0
1,34,24,4,1
2,0,12,21,3
2,1,12,20,3
2,2,12,19,3
2,3,12,18,3
2,4,12,17,3
2,5,12,16,3
2,6,12,15,3
2,7,12,14,3
2,8,12,13,3
2,9,12,12,3
2,10,12,11,3
2,11,12,10,3
2,12,12,9,3
2,13,12,8,3
2,14,13,8,0
2,15,14,8,0
2,16,15,8,0
2,17,16,8,0
2,18,17,8,0
2,19,18,8,0
2,20,19,8,0
2,21,19,7,3
2,22,19,6,3
3,0,13,21,3
3,1,13,20,3
3,2,13,19,3
3,3,13,18,3
3,4,13,17,3
3,5,13,16,3
3,6,13,16,3
3,7,13,16,3
3,8,13,15,3
3,9,13,14,3
3,10,14,14,0
3,11,15,14,0
3,12,16,14,0
3,13,17,14,0
3,14,17,13,3
3,15,17,12,3
3,16,17,11,3
3,17,17,10,3
3,18,17,9,3
3,19,18,9,0
3,20,19,9,0
3,21,20,9,0
3,22,21,9,0
3,23,22,9,0
3,24,23,9,0
3,25,24,9,0
3,26,24,8,3
3,27,24,7,3
3,28,24,6,3
4,0,12,20,3
4,1,12,19,3
4,2,12,18,3
4,3,12,17,3
4,4,12,16,3
4,5,12,15,3
4,6,12,14,3
4,7,13,14,0
4,8,14,14,0
4,9,15,14,0
4,10,16,14,0
4,11,16,13,3
4,12,16,12,3
4,13,16,11,3
4,14,16,10,3
4,15,16,9,3
4,16,17,9,0
4,17,18,9,0
4,18,19,9,0
4,19,19,10,1
5,0,13,20,3
5,1,13,19,3
5,2,13,18,3
5,3,13,17,3
5,4,13,16,3
5,5,13,15,3
5,6,13,15,3
5,7,13,15,3
5,8,13,14,3
5,9,14,14,0
5,10,15,14,0
5,11,16,14,0
5,12,17,14,0
5,13,17,13,3
5,14,17,12,3
5,15,17,11,3
5,16,17,10,3
5,17,17,9,3
5,18,18,9,0
5,19,19,9,0
5,20,20,9,0
5,21,21,9,0
5,22,22,9,0
5,23,23,9,0
5,24,24,9,0
5,25,24,10,1
6,0,12,19,3
6,1,12,18,3
6,2,12,17,3
6,3,12,16,3
6,4,12,15,3
6,5,12,14,3
6,6,13,14,0
6,7,14,14,0
6,8,15,14,0
6,9,16,14,0
6,10,17,14,0
6,11,18,14,0
6,12,19,14,0
6,13,19,13,3
6,14,19,12,3
7,0,13,19,3
7,1,13,18,3
7,2,13,17,3
7,3,13,16,3
7,4,13,15,3
7,5,13,14,3
7,6,14,14,0
7,7,15,14,0
7,8,16,14,0
7,9,16,15,1
7,10,16,16,1
7,11,16,17,1
7,12,17,17,0
7,13,18,17,0
7,14,19,17,0
7,15,20,17,0
7,16,21,17,0
7,17,22,17,0
7,18,23,17,0
7,19,24,17,0
7,20,24,16,3
10,0,16,21,3
10,1,16,20,3
10,2,16,20,3
10,3,16,20,3
10,4,16,19,3
10,5,17,19,0
10,6,16,19,0
10,7,17,19,0
10,8,17,18,3
10,9,17,17,3
10,10,17,16,3
10,11,17,15,3
10,12,16,15,2
10,13,17,15,2
10,14,16,15,2
10,15,16,14,3
10,16,16,13,3
10,17,15,13,2
10,18,14,13,2
10,19,13,13,2
10,20,13,12,3
10,21,13,11,3
10,22,13,10,3
10,23,13,9,3
10,24,13,8,3
10,25,13,7,3
10,26,12,7,2
10,27,11,7,2
10,28,10,7,2
10,29,10,6,3
12,0,16,20,3
12,1,16,19,3
12,2,16,19,3
12,3,16,18,3
12,4,16,17,3
12,5,16,16,3
12,6,16,15,3
12,7,16,14,3
12,8,16,13,3
12,9,15,13,2
12,10,14,13,2
12,11,13,13,2
12,12,12,13,2
12,13,12,12,3
12,14,12,11,3
12,15,12,10,3
12,16,12,9,3
12,17,11,9,2
12,18,10,9,2
12,19,10,10,1
14,0,16,19,3
14,1,16,18,3
14,2,16,17,3
14,3,16,16,3
14,4,16,15,3
14,5,16,14,3
14,6,16,13,3
14,7,15,13,2
14,8,14,13,2
14,9,13,13,2
